phone,axes,first_with,with_without,first_without
iu,Ugly - Beautiful,++1.0,++0.003027,++1.0
iy,Angular - Round,++1.0,++1.0,++1.0
iy,Bad - Good,++1.0,++1.0,++1.0
iy,Cold - Hot,++1.0,++1.0,++1.0
iy,Complex - Simple,++1.0,++1.0,++1.0
iy,Cowardly - Brave,++1.0,++1.0,++1.0
iy,Dangerous - Secure,++1.0,++1.0,++1.0
iy,Dark - Luminous,++1.0,++1.0,++1.0
iy,Difficult - Easy,++1.0,++1.0,++1.0
iy,Evil - Benign,++1.0,++1.0,++1.0
iy,Faded - Bright,++1.0,++1.0,++1.0
iy,Feeble - Strong,++1.0,++1.0,++1.0
iy,Masculine - Feminine,++1.0,++1.0,++1.0
iy,Passive - Active,++1.0,++1.0,++1.0
iy,Quiet - Loud,++1.0,++1.0,++1.0
iy,Rough - Tender,++1.0,++1.0,++1.0
iy,Sad - Joyful,++1.0,++1.0,++1.0
iy,Short - Long,++1.0,++1.0,++1.0
iy,Slow - Quick,++1.0,++1.0,++1.0
iy,Small - Big,++1.0,++1.0,++1.0
iy,Smooth - Rough_or_not_smooth,++1.0,++1.0,++1.0
iy,Ugly - Beautiful,++1.0,++1.0,++1.0
i,Angular - Round,0.0003619,2.758e-24,++0.3989
i,Bad - Good,0.0002561,1.315e-18,++0.1642
i,Cold - Hot,3.674e-19,1.212e-14,1.76e-10
i,Complex - Simple,++0.006141,9.404e-28,5.068e-09
i,Cowardly - Brave,7.167e-05,0.0008065,2.704e-06
i,Dangerous - Secure,1.873e-18,++0.002335,2.173e-14
i,Dark - Luminous,0.0002193,3.313e-21,++0.235
i,Difficult - Easy,0.0005009,5.461e-16,++0.1875
i,Evil - Benign,1.071e-15,1.47e-26,1.163e-06
i,Faded - Bright,4.78e-07,++0.2245,3.777e-07
i,Feeble - Strong,0.0007771,7.755e-43,++0.1722
i,Masculine - Feminine,1.364e-05,5.49e-23,4.684e-12
i,Passive - Active,++0.008347,8.751e-62,++0.006253
i,Quiet - Loud,2.584e-08,5.525e-10,0.0002094
i,Rough - Tender,++0.008174,3.268e-06,++0.1477
i,Sad - Joyful,++0.3331,3.291e-44,0.0001459
i,Short - Long,++0.07322,++0.4704,++0.0828
i,Slow - Quick,++0.414,7.787e-09,++0.03088
i,Small - Big,++0.05286,1.415e-12,++0.3279
i,Smooth - Rough_or_not_smooth,++0.1925,++0.05984,++0.3445
i,Ugly - Beautiful,++0.003336,++0.06839,++0.01182
tt,Angular - Round,++1.0,6.116e-64,++1.0
tt,Bad - Good,++1.0,++0.003121,++1.0
tt,Cold - Hot,++1.0,2.927e-16,++1.0
tt,Complex - Simple,++1.0,++0.001513,++1.0
tt,Cowardly - Brave,++1.0,++0.04371,++1.0
tt,Dangerous - Secure,++1.0,1.593e-07,++1.0
tt,Dark - Luminous,++1.0,1.294e-51,++1.0
tt,Difficult - Easy,++1.0,++0.01537,++1.0
tt,Evil - Benign,++1.0,1.263e-06,++1.0
tt,Faded - Bright,++1.0,3.016e-13,++1.0
tt,Feeble - Strong,++1.0,2.135e-13,++1.0
tt,Masculine - Feminine,++1.0,1.445e-09,++1.0
tt,Passive - Active,++1.0,++0.09156,++1.0
tt,Quiet - Loud,++1.0,3.696e-10,++1.0
tt,Rough - Tender,++1.0,++0.2236,++1.0
tt,Sad - Joyful,++1.0,1.058e-35,++1.0
tt,Short - Long,++1.0,5.722e-16,++1.0
tt,Slow - Quick,++1.0,4.123e-28,++1.0
tt,Small - Big,++1.0,8.858e-06,++1.0
tt,Smooth - Rough_or_not_smooth,++1.0,0.0001451,++1.0
tt,Ugly - Beautiful,++1.0,1.4e-29,++1.0
t,Angular - Round,2.089e-17,1.826e-304,7.842e-38
t,Bad - Good,1.59e-19,3.935e-32,++0.01142
t,Cold - Hot,++0.03657,8.266e-120,6.807e-29
t,Complex - Simple,9.069e-17,++0.06481,8.765e-20
t,Cowardly - Brave,4.854e-19,4.147e-119,7.569e-06
t,Dangerous - Secure,0.000523,5.295e-20,++0.02742
t,Dark - Luminous,3.645e-15,0.0,1.753e-61
t,Difficult - Easy,1.821e-16,3.088e-56,++0.2133
t,Evil - Benign,1.041e-06,8.946e-188,3.616e-31
t,Faded - Bright,1.97e-14,2.028e-210,1.773e-23
t,Feeble - Strong,1.367e-22,4.037e-142,9.572e-07
t,Masculine - Feminine,0.0002398,7.182e-64,1.213e-09
t,Passive - Active,7.182e-22,4.055e-23,5.625e-05
t,Quiet - Loud,3.585e-11,2.285e-96,6.442e-08
t,Rough - Tender,7.294e-17,1.211e-95,0.0001606
t,Sad - Joyful,2.547e-14,2.314e-135,3.505e-11
t,Short - Long,8.868e-22,5.151e-169,4.088e-10
t,Slow - Quick,3.139e-18,1.559e-81,++0.01172
t,Small - Big,++0.4706,2.048e-123,5.566e-39
t,Smooth - Rough_or_not_smooth,9.928e-06,1.015e-46,9.474e-05
t,Ugly - Beautiful,2.854e-09,1.605e-216,5.701e-34
ss,Angular - Round,++1.0,1.007e-09,++1.0
ss,Bad - Good,++1.0,2.151e-28,++1.0
ss,Cold - Hot,++1.0,6.574e-08,++1.0
ss,Complex - Simple,++1.0,++0.02685,++1.0
ss,Cowardly - Brave,++1.0,5.793e-19,++1.0
ss,Dangerous - Secure,++1.0,4.052e-05,++1.0
ss,Dark - Luminous,++1.0,0.0001654,++1.0
ss,Difficult - Easy,++1.0,9.543e-16,++1.0
ss,Evil - Benign,++1.0,7.349e-10,++1.0
ss,Faded - Bright,++1.0,5.19e-14,++1.0
ss,Feeble - Strong,++1.0,2.427e-20,++1.0
ss,Masculine - Feminine,++1.0,2.158e-11,++1.0
ss,Passive - Active,++1.0,2.3e-14,++1.0
ss,Quiet - Loud,++1.0,++0.1496,++1.0
ss,Rough - Tender,++1.0,3.889e-17,++1.0
ss,Sad - Joyful,++1.0,++0.0142,++1.0
ss,Short - Long,++1.0,9.497e-12,++1.0
ss,Slow - Quick,++1.0,5.332e-09,++1.0
ss,Small - Big,++1.0,8.488e-05,++1.0
ss,Smooth - Rough_or_not_smooth,++1.0,1.295e-29,++1.0
ss,Ugly - Beautiful,++1.0,8.905e-05,++1.0
s,Angular - Round,1.561e-17,4.9e-64,++0.03502
s,Bad - Good,++0.1941,5.822e-41,1.808e-12
s,Cold - Hot,1.696e-12,1.531e-09,0.0007823
s,Complex - Simple,++0.08688,8.213e-05,++0.1872
s,Cowardly - Brave,0.0002524,3.136e-31,0.0003373
s,Dangerous - Secure,++0.3044,4.203e-42,1.282e-14
s,Dark - Luminous,1.227e-31,2.854e-69,++0.2306
s,Difficult - Easy,++0.002574,2.06e-19,++0.005293
s,Evil - Benign,3.406e-13,4.362e-48,++0.05871
s,Faded - Bright,1.416e-15,1.282e-43,++0.3121
s,Feeble - Strong,++0.005674,8.973e-24,0.0003548
s,Masculine - Feminine,++0.03031,2.65e-07,++0.1423
s,Passive - Active,++0.05478,5.084e-26,3.648e-15
s,Quiet - Loud,1.079e-25,7.314e-38,++0.003092
s,Rough - Tender,++0.02665,2.482e-05,1.135e-05
s,Sad - Joyful,2.478e-11,7.927e-40,++0.08373
s,Short - Long,2.755e-07,2.859e-35,++0.006902
s,Slow - Quick,0.0002391,6.972e-46,4.372e-07
s,Small - Big,1.209e-13,7.872e-82,1.722e-05
s,Smooth - Rough_or_not_smooth,1.572e-05,1.7e-09,++0.296
s,Ugly - Beautiful,1.563e-22,2.887e-205,3.809e-18
mm,Angular - Round,++1.0,++0.001051,++1.0
mm,Bad - Good,++1.0,4.796e-06,++1.0
mm,Cold - Hot,++1.0,++0.02134,++1.0
mm,Complex - Simple,++1.0,3.358e-10,++1.0
mm,Cowardly - Brave,++1.0,6.745e-07,++1.0
mm,Dangerous - Secure,++1.0,++0.00193,++1.0
mm,Dark - Luminous,++1.0,++0.1337,++1.0
mm,Difficult - Easy,++1.0,++0.1503,++1.0
mm,Evil - Benign,++1.0,++0.01299,++1.0
mm,Faded - Bright,++1.0,2.898e-06,++1.0
mm,Feeble - Strong,++1.0,1.171e-09,++1.0
mm,Masculine - Feminine,++1.0,++0.126,++1.0
mm,Passive - Active,++1.0,++0.3117,++1.0
mm,Quiet - Loud,++1.0,++0.01777,++1.0
mm,Rough - Tender,++1.0,9.394e-05,++1.0
mm,Sad - Joyful,++1.0,++0.003872,++1.0
mm,Short - Long,++1.0,1.421e-05,++1.0
mm,Slow - Quick,++1.0,4.231e-16,++1.0
mm,Small - Big,++1.0,++0.003166,++1.0
mm,Smooth - Rough_or_not_smooth,++1.0,6.427e-07,++1.0
mm,Ugly - Beautiful,++1.0,2.817e-07,++1.0
m,Angular - Round,4.875e-06,1.101e-15,++0.422
m,Bad - Good,++0.003158,++0.03096,++0.03065
m,Cold - Hot,1.328e-08,4.041e-30,++0.1346
m,Complex - Simple,++0.06603,++0.02179,++0.3508
m,Cowardly - Brave,++0.1556,6.017e-16,1.125e-10
m,Dangerous - Secure,1.566e-15,4.895e-80,0.0002496
m,Dark - Luminous,++0.1655,4.148e-22,5.885e-13
m,Difficult - Easy,++0.02584,1.436e-09,++0.05556
m,Evil - Benign,++0.1065,6.72e-14,0.0002826
m,Faded - Bright,++0.001476,8.928e-36,1.397e-06
m,Feeble - Strong,++0.01832,1.907e-21,2.714e-17
m,Masculine - Feminine,++0.001678,3.236e-23,++0.001309
m,Passive - Active,++0.02021,3.65e-06,1.478e-07
m,Quiet - Loud,0.0007695,2.291e-07,++0.3719
m,Rough - Tender,++0.09129,2.424e-23,4.042e-07
m,Sad - Joyful,3.375e-08,1.514e-10,++0.02061
m,Short - Long,3.74e-05,1.079e-11,++0.446
m,Slow - Quick,++0.008511,++0.3996,++0.00719
m,Small - Big,++0.356,++0.09722,++0.3371
m,Smooth - Rough_or_not_smooth,++0.2766,1.129e-13,2.905e-05
m,Ugly - Beautiful,7.013e-13,++0.00796,1.208e-10
nn,Angular - Round,++1.0,2.129e-07,++1.0
nn,Bad - Good,++1.0,++0.4431,++1.0
nn,Cold - Hot,++1.0,1.419e-13,++1.0
nn,Complex - Simple,++1.0,++0.05597,++1.0
nn,Cowardly - Brave,++1.0,++0.01159,++1.0
nn,Dangerous - Secure,++1.0,++0.001541,++1.0
nn,Dark - Luminous,++1.0,5.661e-20,++1.0
nn,Difficult - Easy,++1.0,++0.01259,++1.0
nn,Evil - Benign,++1.0,1.725e-11,++1.0
nn,Faded - Bright,++1.0,1.52e-07,++1.0
nn,Feeble - Strong,++1.0,++0.1438,++1.0
nn,Masculine - Feminine,++1.0,5.642e-06,++1.0
nn,Passive - Active,++1.0,++0.4673,++1.0
nn,Quiet - Loud,++1.0,4.415e-07,++1.0
nn,Rough - Tender,++1.0,++0.001222,++1.0
nn,Sad - Joyful,++1.0,2.502e-11,++1.0
nn,Short - Long,++1.0,++0.03924,++1.0
nn,Slow - Quick,++1.0,++0.001416,++1.0
nn,Small - Big,++1.0,5.697e-14,++1.0
nn,Smooth - Rough_or_not_smooth,++1.0,++0.3124,++1.0
nn,Ugly - Beautiful,++1.0,0.0001999,++1.0
n,Angular - Round,2.409e-09,7.843e-296,2.572e-12
n,Bad - Good,1.006e-11,2.449e-193,0.0003043
n,Cold - Hot,1.608e-08,5.968e-171,2.315e-05
n,Complex - Simple,++0.003169,++0.008193,++0.02507
n,Cowardly - Brave,4.519e-21,7.94e-301,++0.001131
n,Dangerous - Secure,2.565e-23,2.235e-106,++0.004271
n,Dark - Luminous,5.535e-09,0.0,7.025e-14
n,Difficult - Easy,2.578e-16,1.065e-193,++0.03176
n,Evil - Benign,6.946e-07,1.948e-165,3.554e-07
n,Faded - Bright,2.452e-29,0.0,++0.02227
n,Feeble - Strong,1.476e-42,0.0,++0.2605
n,Masculine - Feminine,1.324e-11,0.0,1.44e-19
n,Passive - Active,4.763e-23,0.0,3.029e-05
n,Quiet - Loud,6.571e-08,2.934e-174,3.302e-06
n,Rough - Tender,1.354e-11,5.459e-173,++0.003095
n,Sad - Joyful,7.159e-15,1.677e-59,++0.008399
n,Short - Long,1.358e-19,2.113e-275,++0.002527
n,Slow - Quick,3.405e-11,2.516e-194,0.0003054
n,Small - Big,2.045e-07,2.45e-275,2.479e-14
n,Smooth - Rough_or_not_smooth,7.67e-32,0.0,++0.1858
n,Ugly - Beautiful,1.365e-10,6.412e-227,3.285e-06
pp,Angular - Round,++1.0,1.955e-20,++1.0
pp,Bad - Good,++1.0,++0.1685,++1.0
pp,Cold - Hot,++1.0,0.0003677,++1.0
pp,Complex - Simple,++1.0,1.425e-23,++1.0
pp,Cowardly - Brave,++1.0,++0.05667,++1.0
pp,Dangerous - Secure,++1.0,++0.121,++1.0
pp,Dark - Luminous,++1.0,1.893e-14,++1.0
pp,Difficult - Easy,++1.0,8.012e-05,++1.0
pp,Evil - Benign,++1.0,++0.3606,++1.0
pp,Faded - Bright,++1.0,++0.01624,++1.0
pp,Feeble - Strong,++1.0,4.335e-10,++1.0
pp,Masculine - Feminine,++1.0,0.0002787,++1.0
pp,Passive - Active,++1.0,2.312e-07,++1.0
pp,Quiet - Loud,++1.0,2.066e-13,++1.0
pp,Rough - Tender,++1.0,++0.142,++1.0
pp,Sad - Joyful,++1.0,5.03e-10,++1.0
pp,Short - Long,++1.0,2.875e-09,++1.0
pp,Slow - Quick,++1.0,4.381e-16,++1.0
pp,Small - Big,++1.0,5.683e-08,++1.0
pp,Smooth - Rough_or_not_smooth,++1.0,++0.3234,++1.0
pp,Ugly - Beautiful,++1.0,5.597e-13,++1.0
p,Angular - Round,++0.006376,1.594e-14,5.954e-23
p,Bad - Good,++0.005292,2.226e-05,++0.2638
p,Cold - Hot,++0.1433,++0.428,++0.1175
p,Complex - Simple,++0.2321,3.222e-23,1.826e-23
p,Cowardly - Brave,++0.05877,++0.1961,++0.003189
p,Dangerous - Secure,8.852e-10,++0.02957,2.908e-09
p,Dark - Luminous,++0.2626,1.781e-10,4.46e-11
p,Difficult - Easy,++0.07339,1.238e-10,2.394e-05
p,Evil - Benign,++0.09069,++0.00697,++0.269
p,Faded - Bright,++0.4072,++0.09481,++0.1626
p,Feeble - Strong,++0.3871,++0.001107,++0.00911
p,Masculine - Feminine,++0.0161,++0.2046,++0.02588
p,Passive - Active,++0.07009,9.864e-08,++0.001892
p,Quiet - Loud,0.0001642,3.379e-15,++0.0037
p,Rough - Tender,++0.006491,++0.02199,++0.122
p,Sad - Joyful,9.467e-05,0.000668,++0.0405
p,Short - Long,++0.001649,++0.2441,1.247e-05
p,Slow - Quick,++0.1397,8.601e-08,8.419e-10
p,Small - Big,++0.01845,++0.004006,++0.4233
p,Smooth - Rough_or_not_smooth,++0.1571,++0.1237,++0.406
p,Ugly - Beautiful,++0.2985,++0.02918,++0.008904
oo,Angular - Round,++1.0,++0.2535,++1.0
oo,Bad - Good,++1.0,6.353e-06,++1.0
oo,Cold - Hot,++1.0,1.07e-10,++1.0
oo,Complex - Simple,++1.0,0.0005808,++1.0
oo,Cowardly - Brave,++1.0,++0.007624,++1.0
oo,Dangerous - Secure,++1.0,++0.07322,++1.0
oo,Dark - Luminous,++1.0,++0.2793,++1.0
oo,Difficult - Easy,++1.0,4.019e-08,++1.0
oo,Evil - Benign,++1.0,1.92e-09,++1.0
oo,Faded - Bright,++1.0,++0.02145,++1.0
oo,Feeble - Strong,++1.0,++0.08544,++1.0
oo,Masculine - Feminine,++1.0,++0.03388,++1.0
oo,Passive - Active,++1.0,++0.4006,++1.0
oo,Quiet - Loud,++1.0,8.312e-09,++1.0
oo,Rough - Tender,++1.0,5.013e-14,++1.0
oo,Sad - Joyful,++1.0,2.545e-08,++1.0
oo,Short - Long,++1.0,0.000299,++1.0
oo,Slow - Quick,++1.0,++0.005819,++1.0
oo,Small - Big,++1.0,3.883e-09,++1.0
oo,Smooth - Rough_or_not_smooth,++1.0,0.0006511,++1.0
oo,Ugly - Beautiful,++1.0,++0.2641,++1.0
oi,Angular - Round,++0.435,2.891e-28,++0.01596
oi,Bad - Good,++0.2189,1.51e-32,++0.001137
oi,Cold - Hot,++0.08808,3.008e-15,++0.3778
oi,Complex - Simple,7.192e-05,1.888e-05,2.527e-06
oi,Cowardly - Brave,++0.1932,++0.2584,++0.1323
oi,Dangerous - Secure,1.998e-08,0.0002382,3.219e-10
oi,Dark - Luminous,++0.01125,3.764e-24,++0.4372
oi,Difficult - Easy,1.838e-06,4.602e-06,4.771e-09
oi,Evil - Benign,3.515e-07,0.0001967,2.069e-06
oi,Faded - Bright,++0.1136,1.653e-05,++0.01547
oi,Feeble - Strong,++0.4235,++0.1143,++0.3216
oi,Masculine - Feminine,1.555e-05,++0.2998,3.152e-06
oi,Passive - Active,++0.08367,6.758e-20,++0.3223
oi,Quiet - Loud,5.845e-06,0.0001229,7.718e-05
oi,Rough - Tender,7.822e-08,++0.3243,2.146e-08
oi,Sad - Joyful,6.742e-06,5.516e-39,++0.0415
oi,Short - Long,++0.1268,6.053e-08,++0.01352
oi,Slow - Quick,++0.01466,++0.001598,++0.03794
oi,Small - Big,++0.1193,++0.04048,++0.1933
oi,Smooth - Rough_or_not_smooth,++0.1244,++0.08777,++0.07056
oi,Ugly - Beautiful,++0.0485,6.325e-08,++0.001134
ou,Angular - Round,++1.0,4.221e-22,++1.0
ou,Bad - Good,++1.0,6.356e-09,++1.0
ou,Cold - Hot,++1.0,3.031e-20,++1.0
ou,Complex - Simple,++1.0,2.372e-27,++1.0
ou,Cowardly - Brave,++1.0,++0.05351,++1.0
ou,Dangerous - Secure,++1.0,++0.3503,++1.0
ou,Dark - Luminous,++1.0,4.671e-07,++1.0
ou,Difficult - Easy,++1.0,1.846e-18,++1.0
ou,Evil - Benign,++1.0,6.791e-14,++1.0
ou,Faded - Bright,++1.0,1.294e-24,++1.0
ou,Feeble - Strong,++1.0,++0.4425,++1.0
ou,Masculine - Feminine,++1.0,++0.004245,++1.0
ou,Passive - Active,++1.0,2.43e-10,++1.0
ou,Quiet - Loud,++1.0,1.244e-30,++1.0
ou,Rough - Tender,++1.0,1.149e-10,++1.0
ou,Sad - Joyful,++1.0,7.668e-09,++1.0
ou,Short - Long,++1.0,2.366e-15,++1.0
ou,Slow - Quick,++1.0,++0.1927,++1.0
ou,Small - Big,++1.0,8.345e-19,++1.0
ou,Smooth - Rough_or_not_smooth,++1.0,1.654e-21,++1.0
ou,Ugly - Beautiful,++1.0,++0.09685,++1.0
o,Angular - Round,3.491e-05,0.0001665,++0.003781
o,Bad - Good,4.004e-11,9.419e-52,++0.01443
o,Cold - Hot,3.087e-23,9.95e-25,4.771e-35
o,Complex - Simple,++0.216,5.668e-17,0.0006242
o,Cowardly - Brave,++0.4306,1.907e-13,++0.01386
o,Dangerous - Secure,3.228e-05,1.024e-10,++0.01913
o,Dark - Luminous,8.837e-14,++0.007506,1.249e-14
o,Difficult - Easy,++0.1096,5.362e-37,9.971e-07
o,Evil - Benign,1.619e-08,7.803e-59,7.585e-24
o,Faded - Bright,9.633e-07,1.807e-12,7.127e-11
o,Feeble - Strong,++0.1738,++0.2677,++0.2424
o,Masculine - Feminine,++0.1658,6.771e-16,0.00057
o,Passive - Active,0.0003508,++0.00138,1.879e-05
o,Quiet - Loud,++0.003764,3.12e-71,1.143e-14
o,Rough - Tender,0.0003957,3.27e-17,7.195e-09
o,Sad - Joyful,8.832e-13,++0.004254,4.866e-15
o,Short - Long,++0.4099,++0.005787,++0.3125
o,Slow - Quick,++0.2328,2.81e-07,++0.0172
o,Small - Big,++0.01217,2.328e-59,++0.01183
o,Smooth - Rough_or_not_smooth,2.92e-06,6.782e-07,4.595e-09
o,Ugly - Beautiful,++0.03729,9.29e-23,++0.1481
ee,Angular - Round,++1.0,1.885e-05,++1.0
ee,Bad - Good,++1.0,++0.4551,++1.0
ee,Cold - Hot,++1.0,++0.3532,++1.0
ee,Complex - Simple,++1.0,++0.007759,++1.0
ee,Cowardly - Brave,++1.0,++0.1183,++1.0
ee,Dangerous - Secure,++1.0,++0.3619,++1.0
ee,Dark - Luminous,++1.0,5.36e-06,++1.0
ee,Difficult - Easy,++1.0,++0.2855,++1.0
ee,Evil - Benign,++1.0,++0.01436,++1.0
ee,Faded - Bright,++1.0,++0.01182,++1.0
ee,Feeble - Strong,++1.0,++0.08261,++1.0
ee,Masculine - Feminine,++1.0,1.414e-09,++1.0
ee,Passive - Active,++1.0,++0.103,++1.0
ee,Quiet - Loud,++1.0,4.019e-06,++1.0
ee,Rough - Tender,++1.0,++0.02926,++1.0
ee,Sad - Joyful,++1.0,++0.1401,++1.0
ee,Short - Long,++1.0,1.018e-05,++1.0
ee,Slow - Quick,++1.0,6.352e-08,++1.0
ee,Small - Big,++1.0,++0.4837,++1.0
ee,Smooth - Rough_or_not_smooth,++1.0,++0.473,++1.0
ee,Ugly - Beautiful,++1.0,0.000139,++1.0
ei,Angular - Round,++1.0,1.804e-14,++1.0
ei,Bad - Good,++1.0,5.804e-10,++1.0
ei,Cold - Hot,++1.0,++0.3356,++1.0
ei,Complex - Simple,++1.0,5.503e-06,++1.0
ei,Cowardly - Brave,++1.0,2.516e-11,++1.0
ei,Dangerous - Secure,++1.0,++0.07225,++1.0
ei,Dark - Luminous,++1.0,8.332e-06,++1.0
ei,Difficult - Easy,++1.0,++0.01676,++1.0
ei,Evil - Benign,++1.0,++0.346,++1.0
ei,Faded - Bright,++1.0,2.189e-07,++1.0
ei,Feeble - Strong,++1.0,1.853e-22,++1.0
ei,Masculine - Feminine,++1.0,1.057e-13,++1.0
ei,Passive - Active,++1.0,7.704e-21,++1.0
ei,Quiet - Loud,++1.0,++0.001049,++1.0
ei,Rough - Tender,++1.0,0.0005977,++1.0
ei,Sad - Joyful,++1.0,9.654e-09,++1.0
ei,Short - Long,++1.0,6.278e-06,++1.0
ei,Slow - Quick,++1.0,1.135e-07,++1.0
ei,Small - Big,++1.0,++0.07331,++1.0
ei,Smooth - Rough_or_not_smooth,++1.0,1.591e-14,++1.0
ei,Ugly - Beautiful,++1.0,4.478e-06,++1.0
eu,Angular - Round,++1.0,1.355e-14,++1.0
eu,Bad - Good,++1.0,3.749e-11,++1.0
eu,Cold - Hot,++1.0,5.232e-12,++1.0
eu,Complex - Simple,++1.0,++0.02174,++1.0
eu,Cowardly - Brave,++1.0,7.979e-16,++1.0
eu,Dangerous - Secure,++1.0,1.054e-05,++1.0
eu,Dark - Luminous,++1.0,4.391e-07,++1.0
eu,Difficult - Easy,++1.0,7.657e-07,++1.0
eu,Evil - Benign,++1.0,3.71e-10,++1.0
eu,Faded - Bright,++1.0,3.818e-25,++1.0
eu,Feeble - Strong,++1.0,7.179e-15,++1.0
eu,Masculine - Feminine,++1.0,++0.4632,++1.0
eu,Passive - Active,++1.0,5.075e-07,++1.0
eu,Quiet - Loud,++1.0,6.225e-05,++1.0
eu,Rough - Tender,++1.0,2.217e-10,++1.0
eu,Sad - Joyful,++1.0,1.621e-08,++1.0
eu,Short - Long,++1.0,1.921e-27,++1.0
eu,Slow - Quick,++1.0,1.298e-14,++1.0
eu,Small - Big,++1.0,5.937e-21,++1.0
eu,Smooth - Rough_or_not_smooth,++1.0,4.523e-16,++1.0
eu,Ugly - Beautiful,++1.0,4.182e-05,++1.0
ey,Angular - Round,++1.0,4.268e-05,++1.0
ey,Bad - Good,++1.0,++0.0273,++1.0
ey,Cold - Hot,++1.0,++0.3582,++1.0
ey,Complex - Simple,++1.0,++0.06064,++1.0
ey,Cowardly - Brave,++1.0,7.351e-05,++1.0
ey,Dangerous - Secure,++1.0,0.00018,++1.0
ey,Dark - Luminous,++1.0,6.493e-07,++1.0
ey,Difficult - Easy,++1.0,++0.04501,++1.0
ey,Evil - Benign,++1.0,0.000169,++1.0
ey,Faded - Bright,++1.0,++0.0169,++1.0
ey,Feeble - Strong,++1.0,9.032e-07,++1.0
ey,Masculine - Feminine,++1.0,++0.1613,++1.0
ey,Passive - Active,++1.0,1.829e-05,++1.0
ey,Quiet - Loud,++1.0,6.854e-05,++1.0
ey,Rough - Tender,++1.0,2.871e-05,++1.0
ey,Sad - Joyful,++1.0,++0.09873,++1.0
ey,Short - Long,++1.0,++0.002595,++1.0
ey,Slow - Quick,++1.0,++0.2315,++1.0
ey,Small - Big,++1.0,2.39e-07,++1.0
ey,Smooth - Rough_or_not_smooth,++1.0,++0.1807,++1.0
ey,Ugly - Beautiful,++1.0,2.17e-05,++1.0
e,Angular - Round,2.858e-22,7.103e-161,++0.1204
e,Bad - Good,2.943e-05,1.054e-146,2.311e-06
e,Cold - Hot,++0.1299,1.424e-82,6.531e-08
e,Complex - Simple,2.97e-17,4.682e-42,1.753e-38
e,Cowardly - Brave,3.293e-06,3.752e-180,2.672e-07
e,Dangerous - Secure,3.188e-05,1.367e-76,1.351e-23
e,Dark - Luminous,1e-13,4.408e-125,++0.3768
e,Difficult - Easy,++0.1062,6.792e-195,2.18e-31
e,Evil - Benign,++0.07596,3.092e-71,4.061e-06
e,Faded - Bright,1.211e-07,9.58e-208,3.337e-07
e,Feeble - Strong,2.714e-18,2.432e-251,++0.01201
e,Masculine - Feminine,0.0003837,1.899e-192,1.327e-11
